binary_classification_test_loss_history,binary_classification_train_loss_history,binary_classification_val_loss_history,spatial_difference_test_loss_history,spatial_difference_train_loss_history,spatial_difference_val_loss_history,total_test_loss_history,total_train_loss_history,total_val_loss_history
0.7154441326856613,0.757876840504733,0.6699638366699219,22.619773864746094,22.747381297024813,22.705233097076416,23.33521795272827,23.50525812669234,23.375196933746338
0.7029235512018204,0.7714418531818823,0.6831319555640221,22.544377088546753,22.68696251782504,22.631064653396606,23.247300386428833,23.4584042375738,23.314196586608887
0.7000477214654287,0.7690883256269224,0.6852541714906693,22.47011963526408,22.6139416550145,22.558035055796307,23.170167128245037,23.383029851046476,23.24328915278117
0.69755057990551,0.763697256080129,0.70736163854599,22.39707922935486,22.545624299482867,22.48609757423401,23.094629645347595,23.309321468526665,23.193459153175354
0.6952176123857499,0.7641326896168968,0.7135417729616165,22.325166416168212,22.47519617947665,22.41523313522339,23.0203839302063,23.239328835227273,23.1287748336792
0.6944262708226839,0.7605953151077935,0.7114485949277878,22.254312753677368,22.401400060364693,22.345430771509807,22.948739051818848,23.161995367570356,23.05687928199768
0.6937243746859687,0.7617376816350144,0.711302787065506,22.184526239122665,22.334626457907937,22.276644502367294,22.87825059890747,23.096364120384315,22.987947259630477
0.6938145011663437,0.7678797287358479,0.7184006813913584,22.115756392478943,22.26445047421889,22.208827257156372,22.809570848941803,23.032330198721453,22.927227914333344
0.6965813852018781,0.7692746142245303,0.7330534441603554,22.047950956556534,22.197402616943975,22.14192459318373,22.744532373216416,22.966677241855198,22.874978065490723
0.6995376601815224,0.7707720444961028,0.7455977335572243,21.981093311309813,22.126845585216177,22.075928592681883,22.68063106536865,22.897617652199486,22.82152638435364
0.7003474045883525,0.7753046768263352,0.7485054582357407,21.915136727419767,22.057745247833,22.010809334841642,22.615484194322065,22.833049947565254,22.759314883839
0.7028890065848827,0.7735665888723099,0.7545068276425203,21.85006316502889,21.990032376665056,21.94654941558838,22.552952249844868,22.763598998387653,22.701056321461994
0.7065615997864649,0.7721530777382684,0.7622961424864255,21.78585881453294,21.92357303379299,21.883114998157208,22.492420489971455,22.695726154567478,22.64541119795579
0.7110923454165459,0.7735718875736385,0.7660668130431857,21.722503866468156,21.859066659753974,21.820501361574447,22.433596270424978,22.632638584483754,22.58656825338091
0.7174398491779963,0.7702356053121162,0.775354078412056,21.65997002919515,21.795717441674434,21.758678023020426,22.37740993499756,22.56595308708422,22.534032154083253
0.7224095854908228,0.7698649113828485,0.7805808670818806,21.598235994577408,21.734180065718565,21.697629272937775,22.32064563035965,22.504045004194435,22.47821018099785
0.7276196330785751,0.7670550250752087,0.7865062557599124,21.53728984383976,21.67351159692448,21.637340517605054,22.264909519868738,22.44056664941145,22.42384683384615
0.7314863759610388,0.76404302687657,0.7937495675351884,21.477126148011948,21.61313066097221,21.577807982762653,22.208612574471367,22.377173703126232,22.371557606591118
0.7354898193949148,0.7594201253932058,0.7991100667338622,21.417715951016074,21.55428591641513,21.51900183527093,22.153205821388646,22.313706051219594,22.31811197180497
0.7410622254014015,0.7566266172311523,0.8044893980026245,21.359053993225096,21.496033269708807,21.46091890335083,22.100116300582886,22.252659888701004,22.26540837287903
0.7451243130933671,0.7519455296652657,0.809211674900282,21.301132792518253,21.437456969058875,21.403554893675306,22.04625717798869,22.189402505948944,22.212766624632337
0.748162723400376,0.7462401084047704,0.8174484819173813,21.24394609711387,21.38158772208474,21.346896756779064,21.992108886892144,22.127827841388292,22.16434530778365
0.7495622207289157,0.7423570022399246,0.8245733121167058,21.187482149704643,21.32655767960982,21.29094005667645,21.93704443392546,22.068914684853535,22.1155134283978
0.7495210083822409,0.7379730411551215,0.8268098334471384,21.131735304991405,21.271731611454125,21.23567481835683,21.881256361802418,22.009704651254594,22.062484721342724
0.7494496965408325,0.7350947014310143,0.8286261373758316,21.076689624786376,21.217895122874868,21.18108947753906,21.82613935470581,21.95298982446844,22.009715690612794
0.7515623856049317,0.729647621616617,0.8326968097916017,21.022344479194054,21.163033892224718,21.127182703751785,21.77390689116258,21.89268151530019,21.959879563404964
0.7525553626042826,0.722398519867197,0.834969100024965,20.968693362341988,21.110162542323874,21.07394829502812,21.721248750333434,21.832561065853646,21.90891746238426
0.7546162184860025,0.7166761458887683,0.8350581814135823,20.915725146021163,21.05748858080282,21.021376371383667,21.67034137248993,21.774164723111436,21.85643461772374
0.7553400212320788,0.7110956704541808,0.8360725589867296,20.863435251959437,21.005725935335068,20.96946282222353,21.618775269080853,21.716821598782435,21.80553543156591
0.7556382606426875,0.704706225928032,0.8336591174205145,20.811820856730144,20.953261251160594,20.918203608194986,21.567459122339883,21.657967466296572,21.75186278025309
0.755695017595445,0.6982058809299972,0.8331283153064789,20.760875686522454,20.902438253251688,20.867594472823605,21.51657070652131,21.600644122820096,21.70072284821541
0.7558775101788342,0.6924802852286533,0.8319743522442877,20.710593715310097,20.850756723772395,20.817626625299454,21.46647122502327,21.54323699799451,21.6496010273695
0.7561723300904939,0.6876145895601304,0.8315174846035062,20.660965977293074,20.801194377510345,20.768293308489252,21.41713830196496,21.48880894978841,21.599810831474535
0.7580878432182705,0.6819294764794768,0.828896053135395,20.611992218915155,20.752024214535474,20.719596091438742,21.37008006432477,21.433953670256916,21.548492193222046
0.7577094729457583,0.6767914791385848,0.8294344655105046,20.563668060302735,20.703393628999784,20.671527358463834,21.321377522604806,21.380185092579236,21.50096187591553
0.7575571574270725,0.6709295679824521,0.8321230014165243,20.515987488958572,20.654403243402037,20.624084485901726,21.273544642660354,21.325332795730745,21.456207553545635
